stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
490012811K,St Michael & All Angels Church,51.614780,-0.244910,,true,2,10,36,0.000214,14143,27,0.021432,11590,39
490012812V,St Michael's Church,51.569120,-0.151420,,true,2,10,36,0.000101,16627,14,0.019738,15503,19
490012814N,St Michael's Court,51.516170,-0.012280,,true,2,10,36,0.000616,8985,54,0.022500,7772,59
490012814S,St Michael's Court,51.515870,-0.011500,,true,2,10,36,0.000994,6667,66,0.023158,5673,70
490012815N,St Michael's Crescent,51.583470,-0.382290,,true,2,10,36,0.000091,16865,13,0.021280,12079,37
490012815S,St Michael's Crescent,51.582950,-0.381720,,true,2,10,36,0.000118,16200,16,0.021380,11751,38
490012816S,St Michaels School,51.574170,-0.149540,,true,3,9,80,0.000298,12677,34,0.021753,10476,45
490012819E,St Neot's Road,51.603650,0.238960,,true,3,9,80,0.000176,14971,23,0.013697,19014,1
490012819N1,St Neot's Road,51.603880,0.237010,,true,3,9,80,0.000044,17906,7,0.013627,19024,1
490012819N2,Leamington Close,51.604150,0.238120,,true,2,10,36,0.000002,18781,3,0.013348,19064,1
490012820N,St Norbert Road,51.457910,-0.044170,,true,2,10,36,0.000573,9341,52,0.020929,13114,31
490012820S,St Norbert Road,51.457380,-0.044200,,true,2,10,36,0.000346,11948,38,0.021379,11759,38
490012821N,Stoats Nest Village,51.323290,-0.128950,,true,2,10,36,0.003405,2258,89,0.018464,16873,12
490012821S,Stoats Nest Village,51.323000,-0.128630,,true,2,10,36,0.002235,3457,82,0.018270,17044,11
490012824N,Stock Hill,51.312370,0.028650,,true,2,10,36,0.001084,6275,68,0.016723,18139,5
490012824S,Stock Hill,51.312300,0.028730,,true,2,10,36,0.000673,8561,56,0.016739,18120,5
490012825E,Furzeground Way,51.509400,-0.441750,,true,2,10,36,0.000776,7860,60,0.025544,1043,95
490012825W,Furzeground Way,51.509300,-0.441680,,true,2,10,36,0.001677,4520,77,0.026200,590,97
490012827E,Bennetsfield Road,51.511710,-0.446070,,true,4,8,93,0.001666,4541,77,0.025632,965,95
490012828E,Park Academy,51.518480,-0.458780,,true,3,9,80,0.000680,8519,56,0.024012,3401,82
490012829E,Lavender Rise / Stockley Road,51.505370,-0.452130,,true,2,10,36,0.000376,11515,41,0.024993,1650,91
490012829W,Lavender Rise / Stockley Road,51.505270,-0.452080,,true,2,10,36,0.000493,10101,48,0.025612,979,95
490012831E,Stockwell Bus Garage,51.474660,-0.125750,,true,3,9,80,0.000863,7347,62,0.022167,8958,53
490012831N,Stockwell Bus Garage,51.474290,-0.125420,,true,3,9,80,0.001569,4768,76,0.022363,8242,57
490012832X,Stockwell Gardens,51.471500,-0.121520,,true,4,8,93,0.000706,8351,57,0.021813,10249,46
490012833S1,Stockwell Green,51.468370,-0.118840,,true,3,9,80,0.000572,9347,52,0.021347,11861,38
490012833S2,Stockwell Green,51.468570,-0.119120,,true,3,9,80,0.001344,5339,73,0.021801,10292,46
490012833W,Stockwell Green,51.467810,-0.119340,,true,2,10,36,0.000083,17042,12,0.021143,12495,34
490012836N,Green Lanes / Stoke Newington Church St,51.558230,-0.090740,,true,3,9,80,0.000499,10036,48,0.021252,12184,36
490012836S,Stoke Newington Church Street,51.556900,-0.090250,,true,2,10,36,0.000213,14154,27,0.021342,11883,38
490012837J,Stoke Newington Common,51.562060,-0.068550,,true,4,8,93,0.000437,10721,45,0.021476,11435,40
490012837K,Stoke Newington Common,51.560860,-0.070320,,true,2,10,36,0.000075,17211,11,0.021340,11890,38
490012839R,Stoke Newington Police Station,51.557880,-0.074550,,true,3,9,80,0.000641,8817,55,0.021155,12462,35
490012840W2,Stoke Newington Town Hall,51.561180,-0.082930,,true,3,9,80,0.002212,3501,82,0.021488,11379,40
490012841W,Stokesby Road,51.358620,-0.298490,,true,2,10,36,0.000285,12885,33,0.018329,17008,11
490012842N,Homer Road,51.388180,-0.047670,,true,2,10,36,0.000385,11394,41,0.023505,4633,76
490012842S,Homer Road,51.388110,-0.047120,,true,2,10,36,0.002041,3804,81,0.024222,2994,84
490012843E,St Olave's Road,51.533940,0.063680,,true,2,10,36,0.002240,3454,82,0.022762,6895,64
490012843W,St Olave's Road,51.534000,0.064790,,true,2,10,36,0.002280,3388,83,0.022693,7152,63
490012844E,St Olave's Walk,51.406390,-0.138860,,true,2,10,36,0.000216,14107,27,0.020995,12932,32
490012847E,West End Close,51.542130,-0.265590,,true,2,10,36,0.000421,10913,44,0.021767,10421,45
490012847W,First Drive,51.542520,-0.267480,,true,2,10,36,0.001408,5168,74,0.022346,8305,56
490012848E,Shakespeare Road,51.541250,-0.260510,,true,2,10,36,0.000385,11385,41,0.021600,11011,42
